churn;accountlength;internationalplan;voicemailplan;numbervmailmessages;totaldayminutes;totaldaycalls;totaldaycharge;totaleveminutes;totalevecalls;totalevecharge;totalnightminutes;totalnightcalls;totalnightcharge;totalintlminutes;totalintlcalls;totalintlcharge;numbercustomerservicecalls
No;122;no;no;0;1193;93;2028;2239;103;1903;2119;122;954;87;4;235;2
No;156;no;yes;27;1923;137;3269;1999;115;1699;2442;112;1099;148;8;40;1
Yes;127;no;no;0;2452;91;4168;2172;92;1846;2431;128;1094;139;6;375;0
Yes;130;yes;no;0;2162;106;3675;3637;86;3091;1267;123;57;169;2;456;5
No;158;no;no;0;1724;114;2931;2566;69;2181;2353;104;1059;0;0;0;2
No;145;yes;yes;30;1753;107;298;1533;116;1303;2336;85;1051;111;3;30;1
Yes;90;yes;yes;26;1690;104;2873;1888;104;1605;2133;76;96;133;3;359;0
No;127;no;yes;27;26;113;44;2540;102;2159;2427;156;1092;92;5;248;3
No;109;no;no;0;1841;143;313;2117;105;1799;2430;116;1093;99;2;267;1
No;88;no;no;0;1819;90;3092;1515;87;1288;1430;100;644;75;3;203;1
No;101;no;yes;9;1601;116;2722;2100;121;1785;1391;65;626;108;9;292;0
No;171;no;no;0;1898;122;3227;1737;85;1476;2571;84;1157;103;1;278;0
No;21;no;no;0;2232;142;3794;2165;114;184;2147;111;966;124;2;335;1
No;145;no;yes;31;2160;94;3672;2251;123;1913;2347;109;1056;107;1;289;2
No;90;no;no;0;1985;124;3375;2666;100;2266;2433;80;1095;80;7;216;2
No;33;no;no;0;1595;115;2712;1954;118;1661;1024;86;461;71;7;192;1
Yes;61;no;yes;40;1050;78;1785;1806;100;1535;1741;115;783;102;2;275;2
No;107;no;no;0;2045;108;3477;1624;110;138;1550;102;698;134;1;362;3
Yes;147;no;no;0;2740;92;4658;2318;82;197;2836;83;1276;62;1;167;0
No;117;no;no;0;1587;84;2698;1817;91;1544;1773;67;798;77;10;208;2
No;95;no;no;0;2299;116;3908;2024;110;172;1714;105;771;142;6;383;1
No;186;no;no;0;1378;97;2343;1877;118;1595;1464;85;659;87;6;235;1
No;128;no;no;0;1794;94;305;2704;92;2298;1910;88;859;79;4;213;0
No;55;no;yes;39;1393;101;2368;1783;117;1516;2465;104;1109;81;1;219;3
No;134;no;no;0;78;86;133;1714;100;1457;1865;80;839;129;2;348;2
No;96;no;yes;23;1831;88;3113;1474;89;1253;3502;108;1576;113;7;305;1
No;107;no;no;0;2069;79;3517;2624;117;223;1493;69;672;107;3;289;0
No;123;no;no;0;1400;106;238;1537;101;1306;501;87;225;125;1;338;2
No;35;no;no;0;1792;59;3046;2833;101;2408;2854;83;1284;58;7;157;2
No;74;no;no;0;1774;136;3016;2403;104;2043;2373;133;1068;120;3;324;0
No;130;no;no;0;1156;129;1965;1678;104;1426;1418;124;638;126;9;34;1
Yes;137;yes;no;0;2373;103;4034;1767;84;1502;2634;81;1185;142;4;383;0
No;88;no;no;0;1815;116;3086;1870;119;159;2203;96;991;105;7;284;1
No;80;no;no;0;515;90;876;1640;98;1394;1694;80;762;95;4;257;3
No;116;no;yes;19;1557;104;2647;1854;118;1576;1927;116;867;82;2;221;3
No;123;no;yes;23;2450;88;4165;2650;105;2253;2397;108;1079;149;3;402;2
No;120;no;no;0;1317;99;2239;1631;109;1386;2011;116;905;107;3;289;1
No;146;yes;no;0;1111;126;1889;3134;95;2664;2157;82;971;105;6;284;1
No;106;no;yes;9;885;100;1505;3248;109;2761;799;86;36;82;4;221;3
No;121;no;yes;44;1160;85;1972;1501;120;1276;2468;98;1111;120;2;324;1
No;137;no;no;0;1555;81;2644;1331;94;1131;2531;77;1139;91;2;246;1
No;84;no;yes;30;1065;65;1811;2257;108;1918;1886;61;849;57;3;154;2
No;67;no;yes;31;1752;68;2978;1992;73;1693;2198;99;989;132;6;356;1
Yes;161;no;no;0;1547;84;263;1778;125;1511;1729;90;778;59;2;159;4
Yes;134;no;yes;34;2472;105;4202;2255;133;1917;1863;76;838;61;5;165;2
Yes;62;yes;yes;32;2184;93;3713;2367;132;2012;1922;137;865;132;3;356;0
No;120;no;yes;24;2275;81;3868;2349;71;1997;1664;128;749;90;13;243;1
No;130;no;yes;30;1850;117;3145;2495;141;2121;1578;103;71;74;7;20;0
No;20;no;no;0;1868;89;3176;2534;51;2154;2731;105;1229;123;6;332;2
No;68;no;no;0;1588;119;270;2118;105;180;1981;101;891;103;3;278;1
No;112;no;no;0;2087;150;3548;2128;104;1809;1781;98;801;85;4;23;0
No;77;no;no;0;1859;95;316;2120;98;1802;2823;81;127;113;4;305;3
No;109;no;no;0;2225;74;3783;1697;75;1442;2643;94;1189;90;3;243;2
No;108;no;no;0;2011;101;3419;1707;86;1451;2374;113;1068;116;3;313;3
No;79;no;yes;17;1679;114;2854;2437;93;2071;2119;114;954;91;2;246;1
Yes;119;no;no;0;2391;88;4065;2435;79;207;2309;92;1039;109;3;294;3
Yes;38;no;no;0;1757;109;2987;2118;97;180;1379;109;621;92;3;248;5
Yes;109;no;yes;29;1112;90;189;2635;98;224;2247;128;1011;90;6;243;6
No;78;no;no;0;877;74;1491;2148;58;1826;2013;147;906;108;6;292;1
No;134;no;no;0;2441;99;415;2469;111;2099;2000;133;90;72;2;194;0
No;47;no;yes;27;1650;89;2805;1273;118;1082;2844;95;128;77;4;208;2
No;59;no;yes;27;1274;110;2166;1033;99;878;1642;73;739;91;3;246;0
No;151;no;no;0;1948;106;3312;2927;103;2488;2246;82;1011;55;3;149;0
No;129;no;no;0;547;131;93;2561;105;2177;1766;135;795;111;4;30;1
No;107;no;yes;27;2834;104;4818;2241;152;1905;2413;63;1086;144;7;389;2
Yes;137;yes;no;0;2580;112;4386;2465;117;2095;1732;100;779;109;3;294;0
No;76;no;no;0;905;142;1539;2117;75;1799;1949;76;877;93;2;251;1
No;24;no;no;0;2356;132;4005;1159;129;985;1854;136;834;162;2;437;0
No;169;no;no;0;1425;82;2423;2314;110;1967;1312;67;59;100;4;27;2
No;30;no;no;0;540;68;918;1793;96;1524;2472;101;1112;102;8;275;1
No;70;no;no;0;2148;87;3652;1310;114;1114;2169;104;976;94;3;254;3
Yes;52;yes;no;0;2514;118;4274;1966;80;1671;1920;53;864;110;2;297;0
No;3;no;no;0;1390;99;2363;2507;108;2131;2862;87;1288;61;3;165;4
No;38;no;no;0;1173;114;1994;2087;105;1774;2034;98;915;144;2;389;2
No;104;no;no;0;2640;108;4488;1322;75;1124;1777;91;80;106;8;286;3
No;27;no;no;0;826;105;1404;2040;99;1734;2242;122;1009;91;4;246;1
No;166;yes;yes;28;1758;126;2989;2536;76;2156;1285;72;578;114;5;308;1
No;13;no;no;0;2204;100;3747;2112;79;1795;2593;112;1167;136;8;367;2
No;52;no;no;0;2170;104;3689;1523;83;1295;1343;109;604;118;4;319;2
No;114;no;yes;25;1290;77;2193;2900;110;2465;1771;110;797;116;5;313;1
No;156;no;no;0;1505;106;2559;1529;112;130;2159;86;972;35;3;95;1
No;90;no;yes;42;1933;66;3286;2633;85;2238;2144;97;965;111;4;30;0
No;62;no;no;0;1895;122;3222;1038;95;882;1806;106;813;108;5;292;2
No;82;no;yes;33;1378;95;2343;2355;128;2002;2681;70;1206;110;6;297;2
No;52;no;no;0;1293;80;2198;1427;101;1213;2583;89;1162;123;4;332;3
No;146;no;no;0;1156;77;1965;2136;100;1816;2184;72;983;107;6;289;1
No;120;no;yes;23;2219;114;3772;2547;84;2165;2505;117;1127;72;5;194;2
Yes;130;no;no;0;2637;113;4483;1865;103;1585;1953;99;879;183;6;494;1
No;90;no;no;0;613;91;1042;1944;94;1652;1431;80;644;114;9;308;1
No;147;yes;no;0;1838;113;3125;1647;110;140;1110;87;50;101;4;273;1
Yes;159;no;no;0;1674;68;2846;1438;74;1222;1401;111;63;103;3;278;0
No;74;no;yes;27;1541;122;262;1953;150;166;2767;86;1245;132;2;356;4
No;130;no;no;0;2520;101;4284;1702;105;1447;2092;64;941;57;5;154;0
No;155;yes;no;0;1631;94;2773;2917;108;2479;964;111;434;112;3;302;0
No;87;no;no;0;1983;80;3371;1870;89;159;1335;96;601;166;4;448;2
Yes;81;no;no;0;3247;48;552;2364;82;2009;1876;78;844;131;5;354;0
No;99;no;no;0;1283;78;2181;2153;120;183;1437;140;647;143;9;386;2
No;131;no;no;0;1879;110;3194;2005;101;1704;2026;125;912;102;11;275;2
Yes;89;no;no;0;1292;71;2196;2141;68;182;2149;100;967;103;4;278;5
Yes;123;yes;no;0;1255;106;2134;1289;96;1096;2519;129;1134;63;6;17;4
No;130;no;yes;26;2572;108;4372;2243;122;1907;2040;118;918;126;4;34;1
No;99;no;no;0;1246;90;2118;1464;70;1244;1694;95;762;105;6;284;1
No;36;no;no;0;1751;144;2977;2169;69;1844;2437;146;1097;99;3;267;1
No;87;no;no;0;1243;91;2113;1734;105;1474;2563;109;1153;75;5;203;3
No;139;no;no;0;2716;130;4617;1560;131;1326;1363;108;613;116;9;313;2
No;189;no;no;0;2199;80;3738;1433;117;1218;1306;69;588;117;7;316;1
No;96;no;yes;33;1833;115;3116;2014;87;1712;1774;84;798;104;15;281;3
No;112;no;no;0;1011;119;1719;2144;67;1822;1795;112;808;103;5;278;2
No;75;no;no;0;2033;70;3456;2289;97;1946;2222;118;100;143;3;386;1
No;178;no;yes;35;1754;88;2982;1900;65;1615;1387;94;624;105;3;284;2
Yes;112;no;no;0;2660;97;4522;2146;94;1824;3062;100;1378;142;2;383;2
No;108;no;yes;41;1716;110;2917;1361;78;1157;1834;103;825;108;7;292;0
No;100;no;no;0;787;98;1338;2256;102;1918;1504;106;677;140;8;378;0
No;121;no;yes;20;2119;110;3602;2151;120;1828;2385;107;1073;94;2;254;0
No;116;no;no;0;637;101;1083;1958;95;1664;2101;87;945;100;6;27;1
No;161;no;no;0;1734;100;2948;2137;74;1816;1415;69;637;115;4;311;1
No;19;yes;no;0;2377;98;4041;2071;121;176;1822;95;82;45;4;122;0
No;104;no;no;0;2259;123;384;1628;106;1384;2721;85;1224;101;4;273;1
No;119;yes;yes;32;1730;101;2941;2094;93;178;2311;91;104;122;4;329;0
No;125;no;no;0;2249;102;3823;1438;87;1222;1989;105;895;80;2;216;0
No;156;no;no;0;2377;122;4041;1815;91;1543;1857;151;836;77;4;208;1
No;109;no;no;0;1370;128;2329;2170;116;1845;1821;86;819;100;5;27;2
No;95;no;no;0;1425;109;2423;1761;107;1497;1896;88;853;82;3;221;2
No;90;no;no;0;1424;126;2421;1262;118;1073;2742;71;1234;46;4;124;1
No;105;no;yes;21;1470;112;2499;1973;43;1677;2674;93;1203;87;3;235;2
No;101;no;no;0;2203;124;3745;1886;101;1603;2784;98;1253;106;4;286;1
No;95;no;no;0;1492;96;2536;2607;116;2216;2010;120;905;81;2;219;1
No;123;no;no;0;2044;88;3475;1375;111;1169;2260;100;1017;100;4;27;0
No;160;no;no;0;2168;77;3686;2073;117;1762;2286;117;1029;56;2;151;1
No;141;no;yes;28;3080;123;5236;2478;128;2106;1529;103;688;74;3;20;1
No;87;no;no;0;580;125;986;675;116;574;1859;136;837;115;3;311;0
No;81;no;no;0;1732;80;2944;2362;94;2008;2402;84;1081;118;6;319;2
No;75;no;yes;19;2103;90;3575;2418;87;2055;2157;102;971;131;3;354;4
No;126;no;yes;24;589;125;1001;3055;90;2597;1589;73;715;121;6;327;0
No;28;no;no;0;2368;102;4026;1671;87;142;2802;115;1261;97;3;262;3
No;153;no;no;0;2289;102;3891;1607;136;1366;2031;109;914;125;2;338;0
Yes;97;no;yes;32;900;87;153;2763;113;2349;1852;107;833;86;6;232;2
No;115;no;no;0;1467;128;2494;1062;74;903;1977;104;89;111;4;30;2
No;95;no;no;0;2373;83;4034;1540;65;1309;2370;105;1067;112;6;302;1
Yes;17;yes;no;0;1628;118;2768;2296;91;1952;3327;94;1497;136;3;367;0
No;105;no;yes;20;1869;114;3177;2563;91;2179;3347;104;1506;89;2;24;1
No;121;no;no;0;861;100;1464;2598;113;2208;1480;79;666;91;9;246;2
No;125;no;no;0;2123;89;3609;2154;127;1831;1868;73;841;113;2;305;2
No;124;no;no;0;1510;98;2567;1206;119;1025;1528;81;688;92;2;248;2
No;35;no;no;0;1586;67;2696;1304;96;1108;2298;80;1034;69;5;186;2
Yes;134;no;no;0;2960;93;5032;2264;117;1924;2468;98;1111;123;10;332;0
No;123;no;yes;32;2123;77;3609;2515;78;2138;2087;85;939;66;2;178;3
No;124;no;no;0;2344;61;3985;1793;111;1524;2855;117;1285;104;6;281;3
No;133;no;no;0;1768;92;3006;1875;97;1594;1968;88;886;65;3;176;2
No;185;no;yes;19;1573;123;2674;2577;94;219;1904;107;857;96;6;259;0
No;1;no;yes;26;1466;68;2492;1728;67;1469;1738;113;782;100;2;27;1
No;107;no;no;0;2605;108;4429;1024;110;87;1297;148;584;98;5;265;1
No;91;no;yes;20;1461;98;2484;2774;104;2358;1377;100;62;62;3;167;1
Yes;178;yes;no;0;1245;134;2117;1412;78;120;2682;113;1207;114;2;308;2
No;123;no;no;0;2094;49;356;2374;117;2018;2392;98;1076;98;11;265;1
Yes;170;no;no;0;2857;44;4857;1675;144;1424;2600;97;117;87;4;235;1
No;135;no;no;0;1909;44;3245;1614;109;1372;2319;100;1044;84;2;227;1
No;85;no;no;0;1444;88;2455;2646;105;2249;1854;94;834;99;3;267;1
No;134;no;yes;50;2088;130;355;1329;104;113;1367;107;615;111;4;30;2
No;148;no;yes;36;776;141;1319;2070;60;176;2557;115;1151;109;2;294;1
Yes;93;no;no;0;2711;101;4609;2374;133;2018;1454;103;654;84;6;227;1
No;138;no;no;0;2408;104;4094;1445;92;1228;1257;98;566;116;1;313;0
No;159;no;no;0;1148;98;1952;1926;101;1637;2590;108;1166;122;5;329;0
No;103;no;yes;34;1388;80;236;1420;108;1207;1838;77;827;118;7;319;1
No;150;no;yes;27;2098;112;3567;1550;80;1318;2515;111;1132;72;6;194;0
No;37;no;no;0;1349;98;2293;2484;130;2111;2362;113;1063;147;2;397;3
No;33;yes;no;0;1640;99;2788;1531;102;1301;1238;104;557;64;4;173;0
No;55;no;no;0;2455;130;4174;1927;54;1638;1417;83;638;91;4;246;1
No;134;no;yes;32;803;94;1365;1999;124;1699;1708;117;769;166;3;448;0
No;107;no;no;0;907;90;1542;2075;109;1764;1694;96;762;56;5;151;2
No;80;no;yes;36;1903;115;3235;2566;78;2181;2149;145;967;38;4;103;1
Yes;78;no;no;0;1086;108;1846;2099;126;1784;2226;117;1002;79;5;213;1
Yes;85;no;yes;17;898;88;1527;2332;75;1982;1657;116;746;93;7;251;4
No;61;no;yes;15;2524;106;4291;1878;69;1596;2596;137;1168;100;3;27;2
No;97;no;yes;32;1834;94;3118;2691;120;2287;2035;38;916;67;4;181;5
No;136;yes;no;0;1834;103;3118;1419;113;1206;2004;122;902;104;9;281;2
No;135;no;no;0;1552;100;2638;1359;84;1155;1846;82;831;38;9;103;3
No;87;no;yes;19;1658;122;2819;1869;89;1589;2497;78;1124;0;0;0;1
No;165;no;no;0;2094;67;356;2738;89;2327;1502;88;676;128;1;346;0
Yes;148;no;no;0;2793;104;4748;2016;87;1714;2808;99;1264;79;2;213;2
No;99;no;no;0;1741;102;296;991;118;842;2116;126;952;77;2;208;2
No;123;no;no;0;1757;78;2987;1846;96;1569;1569;92;706;91;2;246;2
No;127;yes;no;0;2565;87;4361;2221;101;1888;1567;122;705;130;3;351;1
No;151;no;no;0;1702;89;2893;1875;83;1594;1195;100;538;43;3;116;0
No;185;no;no;0;1396;92;2373;2502;115;2127;1581;79;711;108;4;292;1
No;65;no;yes;34;2088;119;355;1421;106;1208;2146;87;966;125;4;338;4
No;58;no;no;0;2101;126;3572;2489;108;2116;1586;88;714;144;2;389;4
No;104;no;no;0;1136;87;1931;1586;98;1348;1877;87;845;105;6;284;2
No;44;no;no;0;2026;89;3444;1630;96;1386;2681;151;1206;83;3;224;0
No;58;no;no;0;1744;112;2965;2658;122;2259;1824;87;821;0;0;0;4
No;108;no;no;0;2106;117;358;1642;103;1396;2014;68;906;94;5;254;0
No;132;no;no;0;1215;88;2066;2530;124;2151;1957;120;881;107;4;289;1
No;80;no;no;0;1278;67;2173;1816;112;1544;1973;63;888;159;2;429;2
No;162;no;no;0;1352;98;2298;2420;107;2057;2469;96;1111;102;2;275;2
No;110;no;no;0;994;62;169;2750;86;2338;2121;94;954;167;3;451;2
Yes;96;no;no;0;2769;105;4707;2469;94;2099;2544;107;1145;103;3;278;1
Yes;168;no;no;0;1634;134;2778;2401;87;2041;1640;147;738;116;2;313;2
Yes;72;no;no;0;2874;116;4886;2353;126;200;2921;114;1314;50;3;135;4
No;125;no;yes;23;1205;104;2049;2278;115;1936;1585;100;713;102;3;275;1
No;170;no;no;0;1841;106;313;2049;70;1742;2243;133;1009;98;3;265;2
No;71;no;no;0;1850;84;3145;2325;129;1976;1911;82;86;149;4;402;3
No;124;no;no;0;1609;109;2735;1442;152;1226;1204;97;542;129;12;348;1
No;68;no;no;0;2076;68;3529;2516;123;2139;1916;100;862;109;6;294;2
No;97;no;no;0;2092;134;3556;0;0;0;1754;94;789;118;6;319;1
No;98;yes;no;0;1584;71;2693;3066;66;2606;1442;93;649;21;4;57;1
Yes;24;no;no;0;1490;73;2533;1310;81;1114;2386;69;1074;86;3;232;2
No;136;no;no;0;2045;63;3477;2088;95;1775;2240;119;1008;98;2;265;0
Yes;44;no;no;0;2888;86;491;1759;87;1495;2154;106;969;95;2;257;0
No;96;no;yes;40;1086;90;1846;2064;154;1754;1263;118;568;134;4;362;0
No;31;no;no;0;975;129;1658;2604;78;2213;887;100;399;70;5;189;1
No;72;no;no;0;1665;102;2831;2610;103;2219;2627;85;1182;133;5;359;0
No;24;no;no;0;1562;104;2655;900;101;765;2051;116;923;73;5;197;1
No;112;no;yes;31;2252;89;3828;2568;117;2183;2497;87;1124;115;1;311;4
Yes;117;yes;no;0;2874;118;4886;2596;84;2207;1532;86;689;100;3;27;1
No;137;no;yes;19;1753;96;298;2413;146;2051;2114;109;951;78;2;211;0
No;136;no;no;0;1021;75;1736;2195;97;1866;737;92;332;98;5;265;0
No;95;no;no;0;1579;103;2684;2596;90;2207;2300;117;1035;140;2;378;0
No;82;no;yes;19;1465;73;2491;2464;65;2094;1990;114;896;41;4;111;1
Yes;145;no;no;0;2458;116;4179;2867;91;2437;2407;115;1083;90;13;243;1
No;56;yes;no;0;1777;114;3021;2156;110;1833;2367;67;1065;105;5;284;1
No;155;yes;no;0;2508;146;4264;1525;105;1296;1481;104;666;100;5;27;2
Yes;133;no;no;0;1178;100;2003;1992;105;1693;2441;119;1098;118;4;319;0
No;53;no;no;0;1197;113;2035;1897;84;1612;2562;108;1153;129;7;348;2
Yes;123;no;no;0;2422;87;4117;2261;101;1922;2686;121;1209;82;3;221;5
No;136;no;no;0;1634;83;2778;2493;119;2119;2497;90;1124;98;4;265;7
No;57;no;no;0;1610;113;2737;2080;134;1768;2081;81;936;84;4;227;3
No;62;no;no;0;1287;111;2188;1695;104;1441;1936;97;871;103;5;278;1
No;112;no;no;0;816;94;1387;2681;112;2279;1408;75;634;86;18;232;1
No;55;no;yes;20;2077;91;3531;1997;113;1697;2165;110;974;73;1;197;1
Yes;95;no;no;0;1286;115;2186;2162;88;1838;2553;96;1149;63;2;17;6
No;125;no;no;0;2333;65;3966;2098;93;1783;2106;109;948;91;4;246;1
Yes;1;no;no;0;1821;106;3096;1349;106;1147;1523;75;685;100;3;27;5
Yes;98;no;yes;36;1680;81;2856;1632;125;1387;1727;120;777;80;2;216;6
No;105;no;no;0;2516;88;4277;1751;103;1488;1844;112;83;54;5;146;1
No;113;no;yes;30;1838;102;3125;1834;123;1559;2350;52;1058;116;7;313;0
Yes;99;no;no;0;2564;44;4359;2145;105;1823;2337;75;1052;79;1;213;3
No;103;no;no;0;1802;134;3063;977;85;83;1817;134;818;84;3;227;1
No;177;no;no;0;2278;81;3873;1618;97;1375;2170;106;976;80;5;216;1
No;149;no;yes;20;1478;132;2513;2768;94;2353;1499;110;675;102;6;275;0
Yes;160;no;no;0;2349;136;3993;2708;134;2302;2193;101;987;139;2;375;1
No;116;no;no;0;1109;54;1885;2134;82;1814;1862;116;838;79;2;213;2
No;90;no;yes;22;1245;94;2117;2317;90;1969;2222;108;100;64;12;173;1
Yes;148;yes;no;0;2335;81;397;1877;71;1595;1223;97;55;96;2;259;0
Yes;147;no;yes;35;1973;134;3354;1411;99;1199;2121;90;954;101;4;273;2
No;95;no;no;0;582;96;989;2021;126;1718;2105;97;947;104;5;281;0
No;201;no;no;0;2127;72;3616;2252;90;1914;1951;99;878;70;6;189;1
No;80;no;no;0;1515;89;2576;1317;78;1119;2353;131;1059;118;4;319;0
No;122;yes;no;0;1463;117;2487;2187;93;1859;2360;97;1062;115;5;311;1
No;132;no;no;0;1951;100;3317;1488;95;1265;2245;117;101;67;2;181;0
No;83;no;no;0;2089;71;3551;2148;92;1826;2479;108;1116;130;5;351;1
Yes;99;no;no;0;1357;107;2307;2084;103;1771;2090;95;94;88;3;238;7
Yes;84;no;no;0;2259;86;384;2756;105;2343;2014;108;906;143;3;386;3
No;46;no;no;0;1222;67;2077;1672;62;1421;1948;98;877;97;6;262;1
No;87;no;no;0;1533;106;2606;2245;117;1908;2734;152;123;89;5;24;2
No;150;no;no;0;2140;117;3638;1924;89;1635;2426;99;1092;79;4;213;1
No;73;no;no;0;1948;112;3312;1672;85;1421;1003;61;451;108;6;292;1
No;7;no;no;0;2067;87;3514;2811;83;2389;1585;77;713;110;5;297;3
No;89;no;yes;12;1880;105;3196;1513;107;1286;2019;132;909;105;3;284;2
Yes;131;yes;no;0;1223;83;2079;1188;94;101;1479;95;666;137;3;37;3
No;105;no;no;0;2593;96;4408;1752;97;1489;2224;36;1001;120;5;324;3
Yes;108;yes;no;0;1151;114;1957;2113;70;1796;1361;85;612;138;3;373;2
No;47;no;yes;28;1729;109;2939;1376;94;117;2038;109;917;83;6;224;1
No;101;yes;no;0;1564;116;2659;1304;114;1108;2073;109;933;73;5;197;1
No;182;no;yes;24;1281;104;2178;1434;127;1219;1910;98;859;116;3;313;1
No;161;no;no;0;1966;73;3342;1702;79;1447;1943;79;874;125;3;338;1
Yes;128;no;no;0;2279;130;3874;3026;71;2572;1915;82;862;55;7;149;1
No;69;no;yes;31;1949;63;3313;1916;90;1629;1530;129;689;132;2;356;2
No;113;no;yes;34;449;63;763;1342;82;1141;1684;118;758;133;3;359;1
No;87;no;yes;30;2628;114;4468;2158;130;1834;1548;88;697;78;2;211;0
No;71;no;no;0;2112;70;359;2527;122;2148;2258;104;1016;123;3;332;0
No;76;no;no;0;2040;69;3468;2251;110;1913;2403;85;1081;96;5;259;1
No;87;no;no;0;2232;109;3794;1275;86;1084;2893;83;1302;145;4;392;3
No;117;no;no;0;1190;82;2023;1875;108;1594;1893;97;852;115;3;311;1
Yes;177;no;no;0;2661;91;4524;2252;79;1914;2247;58;1011;89;8;24;3
No;95;no;no;0;1344;104;2285;1524;95;1295;2365;80;1064;94;3;254;1
No;76;no;no;0;1711;78;2909;2572;83;2186;916;92;412;162;3;437;1
No;66;no;no;0;1705;103;2899;2543;77;2162;1973;138;888;105;2;284;2
No;110;no;no;0;1785;124;3035;1469;141;1249;2171;102;977;99;7;267;1
No;204;no;no;0;2052;145;3488;1548;95;1316;1914;77;861;141;5;381;3
No;32;no;yes;31;2328;97;3958;1835;111;156;2068;111;931;130;2;351;0
No;133;no;yes;39;2399;107;4078;2538;77;2157;1287;85;579;67;3;181;5
No;185;no;no;0;556;97;945;2887;83;2454;1112;110;50;121;3;327;2
No;103;no;yes;37;1535;78;261;2419;108;2056;2447;110;1101;106;3;286;1
No;91;no;no;0;1098;100;1867;1896;104;1612;2067;85;93;111;3;30;1
No;131;no;no;0;1961;89;3334;1855;87;1577;2500;132;1125;52;6;14;2
No;153;no;no;0;1668;127;2836;1435;121;122;2107;130;948;118;4;319;0
No;132;no;yes;25;1132;96;1924;2699;107;2294;2291;87;1031;71;7;192;2
No;148;no;no;0;2030;92;3451;1509;125;1283;2455;131;1105;146;9;394;1
No;141;no;no;0;2428;90;4128;2341;80;199;2115;104;952;60;3;162;5
No;105;no;no;0;1565;102;2661;1402;134;1192;2274;111;1023;122;2;329;2
Yes;169;no;no;0;2667;105;4534;1582;88;1345;2877;111;1295;138;3;373;3
No;127;no;yes;23;1820;80;3094;2161;85;1837;1569;82;706;98;4;265;1
No;57;no;no;0;859;92;146;1939;127;1648;2315;93;1042;101;2;273;0
No;123;no;yes;33;1466;87;2492;1148;59;976;2204;99;992;29;7;78;0
Yes;103;no;yes;35;1105;101;1879;2083;81;1771;874;77;393;139;2;375;4
No;101;no;no;0;1186;89;2016;1996;97;1697;533;61;24;115;5;311;1
No;123;no;yes;22;1976;105;3359;800;86;68;1208;82;544;156;12;421;2
No;78;no;yes;32;2103;116;3575;1922;83;1634;2461;92;1107;108;4;292;6
No;101;no;yes;28;2203;96;3745;2858;72;2429;2030;111;914;94;6;254;4
No;129;no;no;0;1500;98;255;2324;101;1975;2612;123;1175;125;6;338;1
No;67;no;yes;34;1617;114;2749;2076;115;1765;2057;114;926;92;4;248;0
No;37;no;no;0;1914;116;3254;1674;99;1423;2165;112;974;140;5;378;3
No;64;yes;no;0;1467;83;2494;1483;91;1261;2386;69;1074;125;3;338;3
No;173;no;no;0;1094;103;186;1013;111;861;1673;106;753;78;7;211;1
No;135;no;no;0;1441;115;245;2498;68;2123;2114;82;951;136;3;367;1
No;75;no;yes;42;2489;93;4231;1708;108;1452;1045;91;47;112;8;302;1
Yes;88;no;no;0;857;112;1457;2216;70;1884;1906;75;858;116;3;313;4
No;112;no;no;0;2148;112;3652;2097;104;1782;1644;97;74;94;5;254;3
No;113;no;no;0;1589;137;2701;2428;109;2064;2478;97;1115;65;4;176;0
No;121;no;yes;28;1100;94;187;1415;76;1203;2373;87;1068;64;3;173;2
No;70;no;no;0;1528;145;2598;1836;102;1561;1518;75;683;105;2;284;1
No;90;no;no;0;1456;103;2475;1971;137;1675;2945;83;1325;105;4;284;0
No;39;no;no;0;933;83;1586;1996;114;1697;2062;104;928;65;4;176;0
No;142;no;no;0;2168;134;3686;1878;106;1596;1381;108;621;83;2;224;0
No;176;no;no;0;2019;101;3432;1547;78;1315;1644;79;74;90;2;243;1
No;105;no;no;0;1464;81;2489;2251;80;1913;2301;117;1035;85;2;23;1
Yes;57;no;no;0;2727;74;4636;2249;85;1912;1782;104;802;105;3;284;2
No;110;no;no;0;189;92;321;2584;81;2196;1096;74;493;148;4;40;1
No;88;no;no;0;1728;81;2938;1934;90;1644;896;107;403;128;5;346;2
No;95;no;no;0;1902;119;3233;1571;70;1335;1815;120;817;140;6;378;0
No;147;no;no;0;1306;83;222;2081;144;1769;2046;72;921;156;3;421;3
Yes;101;no;no;0;1584;92;2693;1880;117;1598;2197;125;989;135;4;365;4
No;115;no;no;0;1665;111;2831;2362;98;2008;2056;92;925;156;2;421;1
No;103;no;no;0;1293;103;2198;2028;89;1724;2330;126;1049;129;2;348;2
No;82;no;no;0;1993;112;3388;1934;120;1644;2544;117;1145;70;10;189;0
No;141;no;no;0;1851;126;3147;2330;98;1981;1522;106;685;91;7;246;0
No;149;no;no;0;1754;80;2982;1974;127;1678;1882;102;847;97;2;262;2
No;131;no;no;0;2634;123;4478;1519;74;1291;2185;101;983;107;2;289;2
No;119;no;no;0;942;108;1601;2641;100;2245;2037;79;917;73;3;197;1
No;112;no;no;0;1894;83;322;2190;89;1862;1680;116;756;71;8;192;3
No;116;no;yes;35;1180;103;2006;1672;106;1421;2057;102;926;118;2;319;2
No;94;no;no;0;2121;98;3606;1894;89;161;3522;95;1585;84;5;227;3
No;90;no;no;0;2220;93;3774;1870;103;159;2823;124;127;124;6;335;2
